First,Intention,gender,genderProbability,genderCount
Meg,I've been interested in a hackathon for a while and this seems like a really good opportunity! ,female,0.99,34366
Abdiel,I want to attend this event because it would be a great opportunity to connect with interesting people that are on the same field as me.,male,1,3926
Abdullah,I want to make the world a better place through code!,male,0.99,168754
Abem,I wanted to do a HFH hackathon with my friends and create something that would be beneficial to others.,male,0.96,48
Abhishek,I want to create innovative solutions for the world. I want to learn and expand my knowledge base when it comes to create creative applications.,male,1,157218
Ace,I have never experienced a Hackathon before and I just wanted to know what it's like.,male,0.98,12730
Adam,I want to improve my CS skills and hope to network and make new friends. I’m excited to apply myself in this event.,male,1,554061
Afifuddin,My friends are going.,male,1,8
Afra,"I attended last year, and it was very fun. I plan on learning as much as possible!",female,0.98,3712
Aidan,I've come to really love programming as I've continued my education at Santa Clara University. I have also developed in humanitarianism and have also recently joined Engineers Without Borders to try and use my engineering skills to make some sort of difference. Programming brings me a lot of satisfaction when things work and because this also doubles as a humanitarian focuses event it seems like the perfect thing for me to do.,male,0.93,2490
Akaash,No beef/pork,male,1,612
Akhil,I heard of it from an alumni who did it. ,male,1,31485
Akshant,,male,0,0
Akshat,I want to apply my coding skills towards a socially impactful project. ,male,1,7994
Alexa,I want to attend because I'm excited to gain more experience working with other teammates and seeing what we can do in 24 hours! ,female,0.99,47888
Alexander,,male,1,444831
Allen,I want to be able to gain experience and be able to apply what I learned here into future internships and jobs.,male,1,104118
Alyce,I want to become a better programmer and want to further my knowledge on the computer science field itself (especially with front end development). I also want to meet new people in comp sci/engineering and connect with mentors.,female,1,4342
Aman,Help humanity,male,0.92,5373
Amanda,I want to attend H4H in order to gain more experience in creating a tech related project,female,1,606914
Amarjot,,male,0.89,28
Amaya,,female,0.99,8079
Amy,"I want to network with the sponsors and practice working in team settings. I hope to expand my technical, collaboration, and cooperation skills through this hackathon.",female,1,480005
Anagha,"Along with my team, I sought to develop fresh approaches to resolving social issues by utilizing various technologies.
",female,1,4436
Anaya,"I want to attend Hack for Humanity because I want to better my coding skills and learn new things. I think a hackathon is a great way to break out of your shell and do something you would not do otherwise. I am very excited to work with a team to create a project and pitch it, and get real world experience working with others in the world of CS and creating things.",female,0.95,1717
Andrew,For fun!,male,1,766466
Andrew,I want to attend H4H to showcase and learn more about computer science. I hope I will be able to showcase my skillset and get closer to getting an internship while learning real skills I will use in the workforce.,male,1,766466
Andrew,I think it would be an excellent opportunity for me to learn new skills and build new projects or prototypes. I will get the chance to work with my friends to help build my co-operation and teamwork. ,male,1,766466
Andrew,I want to meet new people and develop new skills in coding. ,male,1,766466
Andrew,I want to attend Hack for Humanity because it is fun and allows me to work on projects that are innovative and creative,male,1,766466
Ang,I haven't been to hackathons before and I think this would be a great opportunity to experience my first hackathon. I am super excited to network with other students and build something cool and exciting.,male,0.88,9739
Anish,Cuz Jordan Told me.,male,1,23753
Anish,I want to win really badly.,male,1,23753
Ankit,I want to attend hack for humanity to hone my skills in developing production level applications and build a project to solve a social issue. ,male,1,94072
